Tahun,Proporsi Nilai Tambah Sektor Industri Manufaktur Terhadap PDB,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
2014,21.65,14664998916,45788787623,14848246924,12311194717
2015,21.54,12530524292,42471813719,11891233685,12257779103
2016,21.38,12098850937,42898714631,11304401375,12668780923
2017,21.22,14069014662,45487219421,13082130310,13395773887
2018,21.04,15001056167,50742293268,15725945849,14309952124
2019,20.79,13973583011,54539531211,14272978083,13552394338
2020,20.61,13599319847,48306518638,11797399553,12656666290
2021,20.55,19300789965,51805652978,16349164923,14813277700
2022,20.47,24331591888,53943953868,19787254717,15269624703
